[2026-02-01 18:08:27] [INFO    ] discord.client: logging in using static token
[2026-02-01 18:08:27] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-02-01 18:08:27] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-02-01 18:08:27] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1467405172832604284', 'username': 'Anteiku Bot', 'avatar': '48e78957a14a1cd1472b803e09e18283', 'discriminator': '9187', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'a_d3e1d55e934db23eadf5bfc9889b20f2', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-02-01 18:08:28] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-02-01 18:08:28] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-02-01 18:08:28] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1467405172832604284', 'name': 'Anteiku Bot', 'icon': '48e78957a14a1cd1472b803e09e18283', 'description': 'A bot made specifically for the Anteiku server.', 'type': None, 'bot': {'id': '1467405172832604284', 'username': 'Anteiku Bot', 'avatar': '48e78957a14a1cd1472b803e09e18283', 'discriminator': '9187', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'a_d3e1d55e934db23eadf5bfc9889b20f2', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '6ec99ca5c7986739397253500306b2afde8f8de36a1877e0e1ff311390c42590', 'flags': 557056, 'tags': ['Hellooooo'], 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '918856336832335883', 'username': 'pekogato', 'avatar': '3b9bec60a958450cfa9370cd70b779f3', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': 'a_98374cf2700c494ea057448a80e2cab5', 'accent_color': 6974058, 'global_name': 'Peko', 'avatar_decoration_data': None, 'collectibles': {'nameplate': {'sku_id': '1409983105577783410', 'asset': 'nameplates/special_events_2/nitro_rocketfuel_nameplate/', 'label': 'COLLECTIBLES_SEPTEMBER_2025_MARKETING_NAMEPLATE_A11Y', 'palette': 'violet'}}, 'display_name_styles': None, 'banner_color': '#6a6a6a', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 230, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-02-01 18:08:28] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-02-01 18:08:28] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-d4pk",{"micros":0.0}]']}}
[2026-02-01 18:08:28] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-02-01 18:08:28] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
